Date : 2020-07-10 10:51:20
Directory : c:\Users\herbe\Documents\LearnRust\noxfutura
Total : 176 files,  11968 codes, 274 comments, 1403 blanks, all 13645 lines

Languages
+-----------------------------+------------+------------+------------+------------+------------+
| language                    | files      | code       | comment    | blank      | total      |
+-----------------------------+------------+------------+------------+------------+------------+
| Rust                        |        148 |      9,146 |        228 |      1,070 |     10,444 |
| Rusty Object Notation (RON) |          9 |      2,297 |         16 |        210 |      2,523 |
| GLSL                        |         14 |        410 |         23 |        102 |        535 |
| TOML                        |          5 |        115 |          7 |         21 |        143 |
+-----------------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |        176 |     11,968 |        274 |      1,403 |     13,645 |
| nox_components                                                                                            |         36 |      1,153 |         14 |        129 |      1,296 |
| nox_components\src                                                                                        |         35 |      1,136 |         13 |        126 |      1,275 |
| nox_components\src\gamesys                                                                                |          4 |         36 |          0 |          8 |         44 |
| nox_components\src\items                                                                                  |          5 |         30 |          0 |          9 |         39 |
| nox_components\src\render                                                                                 |          6 |         60 |          0 |         13 |         73 |
| nox_components\src\spatial                                                                                |          4 |         29 |          0 |          7 |         36 |
| nox_components\src\spawner                                                                                |          5 |        326 |          1 |         25 |        352 |
| nox_components\src\text                                                                                   |          4 |         24 |          0 |          7 |         31 |
| nox_planet                                                                                                |         35 |      2,398 |        112 |        286 |      2,796 |
| nox_planet\src                                                                                            |         34 |      2,376 |        111 |        283 |      2,770 |
| nox_planet\src\builder                                                                                    |          6 |        640 |         18 |         80 |        738 |
| nox_planet\src\region                                                                                     |         16 |      1,248 |         66 |        132 |      1,446 |
| nox_planet\src\region\builder                                                                             |         14 |      1,168 |         65 |        121 |      1,354 |
| nox_raws                                                                                                  |         15 |        764 |          3 |         97 |        864 |
| nox_raws\src                                                                                              |         14 |        752 |          2 |         94 |        848 |
| nox_raws\src\formats                                                                                      |         11 |        569 |          1 |         75 |        645 |
| nox_wgpu_utils                                                                                            |         10 |        757 |          6 |         90 |        853 |
| nox_wgpu_utils\src                                                                                        |          9 |        742 |          5 |         87 |        834 |
| resources                                                                                                 |         23 |      2,707 |         39 |        312 |      3,058 |
| resources\raws                                                                                            |          9 |      2,297 |         16 |        210 |      2,523 |
| resources\shaders                                                                                         |         14 |        410 |         23 |        102 |        535 |
| src                                                                                                       |         56 |      4,140 |         97 |        480 |      4,717 |
| src\engine                                                                                                |          1 |        206 |          6 |         26 |        238 |
| src\messaging                                                                                             |          3 |         36 |          0 |          9 |         45 |
| src\modes                                                                                                 |         35 |      3,373 |         79 |        374 |      3,826 |
| src\modes\loader                                                                                          |          2 |         95 |          0 |         18 |        113 |
| src\modes\playgame                                                                                        |         27 |      2,705 |         71 |        286 |      3,062 |
| src\modes\playgame\chunks                                                                                 |          6 |        367 |          9 |         42 |        418 |
| src\modes\playgame\render_passes                                                                          |         13 |      1,654 |         43 |        156 |      1,853 |
| src\modes\playgame\render_passes\uniforms                                                                 |          5 |        296 |          6 |         41 |        343 |
| src\modes\playgame\vox                                                                                    |          6 |        355 |          7 |         52 |        414 |
| src\systems                                                                                               |         11 |        372 |         12 |         47 |        431 |
| src\systems\ui                                                                                            |          5 |        190 |          2 |         25 |        217 |
| src\utils                                                                                                 |          5 |        143 |          0 |         21 |        164 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+-----------------------------+------------+------------+------------+------------+
| filename                                                                                                  | language                    | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+-----------------------------+------------+------------+------------+------------+
| c:\Users\herbe\Documents\LearnRust\noxfutura\Cargo.toml                                                   | TOML                        |         49 |          3 |          9 |         61 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\Cargo.toml                                    | TOML                        |         17 |          1 |          3 |         21 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\calendar.rs                               | Rust                        |         56 |          4 |          6 |         66 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\field_of_view.rs                          | Rust                        |         18 |          0 |          3 |         21 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\gamesys\attributes.rs                     | Rust                        |         11 |          0 |          2 |         13 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\gamesys\initiative.rs                     | Rust                        |         15 |          0 |          3 |         18 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\gamesys\mod.rs                            | Rust                        |          6 |          0 |          1 |          7 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\gamesys\myturn.rs                         | Rust                        |          4 |          0 |          2 |          6 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\identity.rs                               | Rust                        |         25 |          0 |          5 |         30 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\items\item_carried.rs                     | Rust                        |          6 |          0 |          2 |          8 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\items\item_in_container.rs                | Rust                        |          6 |          0 |          2 |          8 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\items\item_worn.rs                        | Rust                        |          6 |          0 |          2 |          8 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\items\mod.rs                              | Rust                        |          8 |          0 |          1 |          9 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\items\storage.rs                          | Rust                        |          4 |          0 |          2 |          6 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\lib.rs                                    | Rust                        |         71 |          0 |          7 |         78 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\render\camera.rs                          | Rust                        |         17 |          0 |          3 |         20 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\render\composite_render.rs                | Rust                        |         13 |          0 |          3 |         16 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\render\light.rs                           | Rust                        |          7 |          0 |          2 |          9 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\render\mod.rs                             | Rust                        |         10 |          0 |          1 |         11 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\render\tint.rs                            | Rust                        |          6 |          0 |          2 |          8 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\render\voxel_model.rs                     | Rust                        |          7 |          0 |          2 |          9 |
